coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Pericytes,ODImmature1,Pericytes ODImmature1
0x0,0.0,0.0,0.0,1.500115082,0.0,2.273030106,0.0,1.3183151450000001,0.0,0.0,0.750048159,0.0,3.409506631,0.0,0.0,1.704767878,1.704767878,0.750048159,0.750048159,4.500345877,2.818391505,9.023535092,0.0,0.0,0.0,0.750048159,0.750048159,0.0,0.568266986,0.0,1.136534943,0.568266986,21.5943577,7.387257951,0.0,0.0,0.0,0.0,0.568266986,0.0,0.0,0.0,2.273030106,0.0,0.568266986,51.75941847,0.0,0.0,1.704767878,1.704767878,0.0,0.568266986,0.568266986,0.0,0.0,12.50205896,0.0,1.3183151450000001,0.750048159,0.0,0.0,10.136534943000001,1.3183151450000001,0.568266986,0.568266986,0.568266986,4.318555634,0.0,0.750048159,2.250124519,0.0,4.523154625,0.0,0.0,7.955503336,30.00273442,0.0,2.818391505,1.886583102,0.0,0.0,0.0,0.750048159,0.750048159,1.886583102,0.0,3.954892397,0.750048159,0.0,1.136534943,0.0,3.977829304,0.0,0.568266986,1.704767878,40.91794659,0.568266986,3.750288648,0.0,3.977829304,0.0,0.0,1.704767878,0.0,0.750048159,0.0,1.3183151450000001,12.50205896,0.0,2.273030106,0.0,1.500115082,4.909621713,0.0,1.136534943,0.568266986,0.0,0.0,3.000184291,4.7278774630000004,4.546001721,12.50205896,0.568266986,0.0,0.568266986,0.0,0.0,1.3183151450000001,1.136534943,0.0,2.841315689,13.252107119,0.0,0.0,0.0,0.007551839,0.042238232,0.022488996,0.050376321,0.0,0.032435668,0.0,0.0,0.0,0.0,0.07137934400000001,0.0,0.178221654,0.0,0.0,0.0,0.584464727,0.0,0.010261959,0.0,1.0,1.0,"[[0], [0]]"
1x1,0.0,0.0,0.685660073,4.242685668,2.056961717,0.0,0.0,13.091404989,0.0,0.0,2.121312661,0.0,2.056961717,0.0,0.685660073,0.0,6.170839465,1.435708232,0.750048159,9.985495494,2.935784592,7.436165059,0.0,0.685660073,0.0,1.435708232,0.750048159,0.685660073,0.685660073,0.0,0.685660073,0.685660073,23.99769702,0.0,0.0,0.0,0.685660073,1.371264502,0.0,0.685660073,0.0,0.685660073,0.685660073,0.685660073,0.685660073,51.75941847,0.685660073,10.28495938,1.371264502,18.5119197,0.0,0.685660073,0.0,0.0,0.0,13.02813705,0.685660073,6.920887624000001,0.750048159,0.0,0.0,11.056961717,0.750048159,1.371264502,0.0,0.685660073,3.750288648,0.0,0.750048159,2.250124519,0.0,4.992695104999999,0.685660073,1.371264502,3.428228268,30.00273442,0.0,6.363998244999999,0.750048159,0.685660073,0.0,0.0,0.750048159,0.750048159,0.750048159,0.0,3.6213890209999997,0.750048159,0.685660073,0.685660073,1.371264502,10.28495938,0.0,4.113873726,13.71295816,24.68029451,1.371264502,5.12155315,0.0,0.685660073,0.0,0.685660073,0.685660073,0.685660073,0.750048159,0.685660073,1.435708232,0.685660073,0.0,5.485149617,0.0,2.185775155,10.413455047000001,1.371264502,3.428228268,0.0,0.0,0.0,3.6858443640000003,1.435708232,4.113873726,15.08421982,0.0,0.0,8.913339965,8.913339965,0.0,1.435708232,0.0,0.685660073,4.113873726,8.977674498,1.371264502,0.0,0.0,0.0,0.047154322,0.002066792,0.047313051,0.0,0.032435668,0.019721556,0.0,0.0,0.0,0.075702314,0.0,0.414482173,0.0,0.024693544,0.0,0.5227201499999999,0.0,0.0,0.0,1.0,1.0,"[[0], [1]]"
2x2,0.0,0.0,0.0,1.500115082,1.092184595,1.092184595,1.092184595,1.8422327539999999,0.0,0.0,2.934392322,1.092184595,4.368710674,0.0,0.0,0.0,3.276613475,0.750048159,0.750048159,4.500345877,2.250124519,6.750504986,0.0,0.0,0.0,0.750048159,0.750048159,5.461003853,1.092184595,0.0,0.0,0.0,36.0424753,0.0,0.0,0.0,0.0,4.368710674,0.0,0.0,0.0,0.0,7.64529864,0.0,0.0,51.75941847,0.0,0.0,4.368710674,1.092184595,0.0,0.0,0.0,0.0,0.0,27.30740119,0.0,2.934392322,0.750048159,0.0,2.184344163,14.461003853000001,1.8422327539999999,2.184344163,0.0,0.0,3.750288648,1.092184595,0.750048159,2.250124519,0.0,2.250124519,1.092184595,0.0,0.0,30.00273442,0.0,4.434468682,2.934392322,6.553182878,1.092184595,1.092184595,0.750048159,0.750048159,0.750048159,0.0,3.342309114,1.8422327539999999,0.0,0.0,0.0,3.276613475,0.0,10.92065173,5.461003853,66.62386672,2.184344163,3.750288648,3.276613475,3.276613475,0.0,0.0,0.0,1.092184595,1.8422327539999999,0.0,0.750048159,0.0,0.0,3.276613475,0.0,3.684459245,3.684459245,0.0,4.368710674,0.0,0.0,0.0,4.092368886,2.934392322,10.92065173,22.93866901,0.0,1.092184595,1.092184595,3.276613475,0.0,1.8422327539999999,1.092184595,3.276613475,3.276613475,23.688717169,0.0,0.0,3.276613475,0.0,0.069260831,0.002066792,0.034715375,0.0,0.04071276,0.0,0.0,0.0,0.0,0.047053807,0.0,0.5321322900000001,0.0,0.003467705,0.0,0.439611474,0.0,0.0,0.0,1.0,1.0,"[[0], [2]]"
3x3,0.410457485,0.0,0.410457485,3.9628560090000002,0.820916369,0.410457485,7.388223625,5.264978103000001,1.231361832,0.410457485,4.4441228960000005,2.462740927,1.231361832,0.0,0.0,3.283610752,9.029978452,1.1605056440000001,1.981409991,6.963086804,6.354586812,7.160962471,0.410457485,0.410457485,0.410457485,2.8022974389999997,1.1605056440000001,3.283610752,0.820916369,0.410457485,2.05224928,3.283610752,20.11057196,1.64180039,0.0,0.0,0.410457485,1.231361832,0.0,0.410457485,0.0,0.410457485,1.231361832,0.0,0.0,51.75941847,0.410457485,4.104462293,2.05224928,0.820916369,1.64180039,0.0,0.0,1.64180039,0.0,12.72460961,2.873200685,8.548575744999999,1.1605056440000001,0.820916369,0.410457485,12.694074737000001,3.623248844,7.388223625,0.820916369,0.410457485,3.750288648,0.820916369,1.1605056440000001,2.250124519,0.410457485,3.481486351,0.410457485,0.0,0.0,30.00273442,0.820916369,7.586049114,4.033658911,2.462740927,0.820916369,0.410457485,8.958995721,0.750048159,2.391848549,0.0,2.660582004,0.750048159,0.0,0.0,0.820916369,10.26159747,0.410457485,9.029978452,2.05224928,26.68216163,2.873200685,3.750288648,0.0,0.0,8.208947562,0.0,0.820916369,0.410457485,3.623248844,0.0,1.1605056440000001,0.410457485,0.410457485,4.104462293,0.0,1.910572567,2.321031451,0.0,18.05899517,0.0,0.0,0.0,3.000184291,1.570964528,2.873200685,8.619444649,0.410457485,2.462740927,0.410457485,19.70141349,0.0,0.750048159,0.820916369,0.0,3.694074737,6.906866602,0.0,0.0,0.410457485,0.18109274,0.042938486,0.002066792,0.023121945,0.0,0.032834049000000004,0.0,0.0,0.0,0.0,0.047053807,0.0,0.429592406,0.0,0.0,0.0,0.35781754299999996,0.0,0.0,0.0,1.0,1.0,"[[0], [3]]"
4x4,0.0,0.0,9.8292904,3.466107251,0.0,1.965992169,0.0,4.682013319,0.0,0.0,0.750048159,0.0,0.0,0.0,1.965992169,0.0,3.93196516,0.750048159,0.750048159,4.500345877,4.216116688,6.750504986,0.0,0.0,0.0,2.716040328,0.750048159,0.0,0.0,0.0,0.0,0.0,27.52331512,1.965992169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.965992169,0.0,0.0,53.725410639,1.965992169,3.93196516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8292904,0.0,0.750048159,0.750048159,0.0,0.0,14.897949332,0.750048159,3.93196516,0.0,0.0,5.716280817,0.0,0.750048159,2.250124519,0.0,2.250124519,0.0,0.0,5.897949332,30.00273442,0.0,2.250124519,2.716040328,3.93196516,0.0,0.0,0.750048159,0.750048159,0.750048159,0.0,2.250124519,0.750048159,1.965992169,0.0,0.0,5.897949332,0.0,3.93196516,1.965992169,49.15335611,0.0,3.750288648,0.0,1.965992169,0.0,0.0,0.0,11.79675927,0.750048159,0.0,0.750048159,0.0,3.93196516,0.0,0.0,1.500115082,1.500115082,0.0,1.965992169,0.0,0.0,0.0,4.96617646,8.613849216,0.0,29.4929892,0.0,1.965992169,0.0,0.0,0.0,0.750048159,1.965992169,0.0,0.0,14.510511819,0.0,0.0,0.0,0.014858281,0.042238232,0.023447616,0.026442247000000002,0.010425737,0.034507236000000004,0.0,0.0,0.0,0.0,0.051738996,0.0,0.178221654,0.0,0.0,0.0,0.383868749,0.009242893,0.008558979,0.001682785,1.0,1.0,"[[0], [4]]"
5x5,0.0,0.0,0.0,0.0,0.0,3.8891641960000003,0.0,0.568266986,0.0,0.0,1.61613409,0.0,3.409506631,0.0,0.0,1.704767878,1.704767878,0.0,0.0,0.0,0.568266986,5.5053647560000005,0.0,0.0,0.0,0.0,0.0,0.0,0.568266986,0.0,1.136534943,0.568266986,21.5943577,7.387257951,0.0,0.0,4.848439478,0.0,0.568266986,0.0,0.0,1.61613409,2.273030106,0.0,0.568266986,64.6447502,0.0,0.0,1.704767878,1.704767878,0.0,0.568266986,0.568266986,0.0,0.0,12.50205896,0.0,0.568266986,0.0,0.0,0.0,1.136534943,0.568266986,0.568266986,0.568266986,0.568266986,0.568266986,0.0,0.0,1.61613409,0.0,2.273030106,0.0,0.0,7.955503336,12.92836054,0.0,7.032926448,2.752669033,0.0,0.0,0.0,0.0,0.0,1.136534943,0.0,1.704767878,0.0,0.0,1.136534943,0.0,3.977829304,0.0,0.568266986,3.3209019680000003,40.91794659,0.568266986,0.0,0.0,3.977829304,0.0,0.0,1.704767878,1.61613409,0.0,0.0,0.568266986,14.118193049999999,0.0,2.273030106,0.0,1.61613409,5.025640721,0.0,1.136534943,0.568266986,0.0,0.0,1.61613409,3.977829304,4.546001721,12.50205896,0.568266986,0.0,2.1844010760000003,0.0,0.0,0.568266986,1.136534943,0.0,2.841315689,12.50205896,0.0,0.0,0.0,0.007551839,0.042137443,0.029616064999999997,0.032319493,0.0,0.025205671,0.0,0.0,0.0,0.0,0.028150982,0.0,0.167070254,0.0,0.0,0.0,0.592237208,0.0,0.010261959,0.0,1.0,1.0,"[[1], [0]]"
6x6,0.0,0.0,0.685660073,2.742570586,2.056961717,1.61613409,0.0,12.34135683,0.0,0.0,2.987398592,0.0,2.056961717,0.0,0.685660073,0.0,6.170839465,0.685660073,0.0,5.485149617,0.685660073,3.9179947229999996,0.0,0.685660073,0.0,0.685660073,0.0,0.685660073,0.685660073,0.0,0.685660073,0.685660073,23.99769702,0.0,0.0,0.0,5.534099551000001,1.371264502,0.0,0.685660073,0.0,2.3017941630000003,0.685660073,0.685660073,0.685660073,64.6447502,0.685660073,10.28495938,1.371264502,18.5119197,0.0,0.685660073,0.0,0.0,0.0,13.02813705,0.685660073,6.170839465,0.0,0.0,0.0,2.056961717,0.0,1.371264502,0.0,0.685660073,0.0,0.0,0.0,1.61613409,0.0,2.742570586,0.685660073,1.371264502,3.428228268,12.92836054,0.0,10.578533188,1.61613409,0.685660073,0.0,0.0,0.0,0.0,0.0,0.0,1.371264502,0.0,0.685660073,0.685660073,1.371264502,10.28495938,0.0,4.113873726,15.329092249999999,24.68029451,1.371264502,1.371264502,0.0,0.685660073,0.0,0.685660073,0.685660073,2.3017941630000003,0.0,0.685660073,0.685660073,2.3017941630000003,0.0,5.485149617,0.0,2.3017941630000003,10.529474055000001,1.371264502,3.428228268,0.0,0.0,0.0,2.3017941630000003,0.685660073,4.113873726,15.08421982,0.0,0.0,10.529474055000001,8.913339965,0.0,0.685660073,0.0,0.685660073,4.113873726,8.227626339,1.371264502,0.0,0.0,0.0,0.047053532999999995,0.009193861,0.029256223,0.0,0.025205671,0.019721556,0.0,0.0,0.0,0.032473952,0.0,0.403330773,0.0,0.024693544,0.0,0.530492631,0.0,0.0,0.0,1.0,1.0,"[[1], [1]]"
7x7,0.0,0.0,0.0,0.0,1.092184595,2.708318685,1.092184595,1.092184595,0.0,0.0,3.800478253,1.092184595,4.368710674,0.0,0.0,0.0,3.276613475,0.0,0.0,0.0,0.0,3.23233465,0.0,0.0,0.0,0.0,0.0,5.461003853,1.092184595,0.0,0.0,0.0,36.0424753,0.0,0.0,0.0,4.848439478,4.368710674,0.0,0.0,0.0,1.61613409,7.64529864,0.0,0.0,64.6447502,0.0,0.0,4.368710674,1.092184595,0.0,0.0,0.0,0.0,0.0,27.30740119,0.0,2.184344163,0.0,0.0,2.184344163,5.461003853,1.092184595,2.184344163,0.0,0.0,0.0,1.092184595,0.0,1.61613409,0.0,0.0,1.092184595,0.0,0.0,12.92836054,0.0,8.649003625,3.800478253,6.553182878,1.092184595,1.092184595,0.0,0.0,0.0,0.0,1.092184595,1.092184595,0.0,0.0,0.0,3.276613475,0.0,10.92065173,7.077137943,66.62386672,2.184344163,0.0,3.276613475,3.276613475,0.0,0.0,0.0,2.708318685,1.092184595,0.0,0.0,1.61613409,0.0,3.276613475,0.0,3.800478253,3.800478253,0.0,4.368710674,0.0,0.0,0.0,2.708318685,2.184344163,10.92065173,22.93866901,0.0,1.092184595,2.708318685,3.276613475,0.0,1.092184595,1.092184595,3.276613475,3.276613475,22.93866901,0.0,0.0,3.276613475,0.0,0.069160042,0.009193861,0.016658547,0.0,0.033482763,0.0,0.0,0.0,0.0,0.003825445,0.0,0.52098089,0.0,0.003467705,0.0,0.44738395499999994,0.0,0.0,0.0,1.0,1.0,"[[1], [2]]"
8x8,0.410457485,0.0,0.410457485,2.462740927,0.820916369,2.0265915750000003,7.388223625,4.514929944,1.231361832,0.410457485,5.310208827,2.462740927,1.231361832,0.0,0.0,3.283610752,9.029978452,0.410457485,1.231361832,2.462740927,4.104462293,3.6427921349999997,0.410457485,0.410457485,0.410457485,2.05224928,0.410457485,3.283610752,0.820916369,0.410457485,2.05224928,3.283610752,20.11057196,1.64180039,0.0,0.0,5.258896963000001,1.231361832,0.0,0.410457485,0.0,2.0265915750000003,1.231361832,0.0,0.0,64.6447502,0.410457485,4.104462293,2.05224928,0.820916369,1.64180039,0.0,0.0,1.64180039,0.0,12.72460961,2.873200685,7.798527586,0.410457485,0.820916369,0.410457485,3.694074737,2.873200685,7.388223625,0.820916369,0.410457485,0.0,0.820916369,0.410457485,1.61613409,0.410457485,1.231361832,0.410457485,0.0,0.0,12.92836054,0.820916369,11.800584057,4.8997448420000005,2.462740927,0.820916369,0.410457485,8.208947562,0.0,1.64180039,0.0,0.410457485,0.0,0.0,0.0,0.820916369,10.26159747,0.410457485,9.029978452,3.66838337,26.68216163,2.873200685,0.0,0.0,0.0,8.208947562,0.0,0.820916369,2.0265915750000003,2.873200685,0.0,0.410457485,2.0265915750000003,0.410457485,4.104462293,0.0,2.0265915750000003,2.437050459,0.0,18.05899517,0.0,0.0,0.0,1.61613409,0.820916369,2.873200685,8.619444649,0.410457485,2.462740927,2.0265915750000003,19.70141349,0.0,0.0,0.820916369,0.0,3.694074737,6.156818443,0.0,0.0,0.410457485,0.18109274,0.042837696999999994,0.009193861,0.005065117,0.0,0.025604052,0.0,0.0,0.0,0.0,0.003825445,0.0,0.418441006,0.0,0.0,0.0,0.36559002399999996,0.0,0.0,0.0,1.0,1.0,"[[1], [3]]"
9x9,0.0,0.0,9.8292904,1.965992169,0.0,3.582126259,0.0,3.93196516,0.0,0.0,1.61613409,0.0,0.0,0.0,1.965992169,0.0,3.93196516,0.0,0.0,0.0,1.965992169,3.23233465,0.0,0.0,0.0,1.965992169,0.0,0.0,0.0,0.0,0.0,0.0,27.52331512,1.965992169,0.0,0.0,4.848439478,0.0,0.0,0.0,0.0,1.61613409,1.965992169,0.0,0.0,66.61074236900001,1.965992169,3.93196516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8292904,0.0,0.0,0.0,0.0,0.0,5.897949332,0.0,3.93196516,0.0,0.0,1.965992169,0.0,0.0,1.61613409,0.0,0.0,0.0,0.0,5.897949332,12.92836054,0.0,6.464659462,3.582126259,3.93196516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.965992169,0.0,0.0,5.897949332,0.0,3.93196516,3.582126259,49.15335611,0.0,0.0,0.0,1.965992169,0.0,0.0,0.0,13.412893360000002,0.0,0.0,0.0,1.61613409,3.93196516,0.0,0.0,1.61613409,1.61613409,0.0,1.965992169,0.0,0.0,0.0,3.582126259,7.863801057,0.0,29.4929892,0.0,1.965992169,1.61613409,0.0,0.0,0.0,1.965992169,0.0,0.0,13.76046366,0.0,0.0,0.0,0.014858281,0.042137443,0.030574684999999997,0.008385419,0.010425737,0.027277238999999998,0.0,0.0,0.0,0.0,0.008510634,0.0,0.167070254,0.0,0.0,0.0,0.39164122999999995,0.009242893,0.008558979,0.001682785,1.0,1.0,"[[1], [4]]"
