coord,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf,Ambiguous,ODImmature1
0x0,0.0,0.597533596,1.792608143,1.195078217,0.0,2.273030106,1.792608143,3.5560360510000004,0.0,0.0,4.182866232,3.5853237,5.202114774,0.597533596,0.0,2.302301474,9.472958846,5.975414182,0.597533596,2.987769065,0.568266986,3.468108323,0.597533596,0.0,0.0,1.792608143,0.0,1.195078217,2.360875129,0.0,2.33161316,1.1658005820000001,29.960052472,8.582336168,0.0,0.0,0.0,5.975414182,0.568266986,0.0,0.0,0.0,2.870563702,0.0,1.763345203,0.0,0.597533596,7.170525693,4.692536943,2.302301474,0.0,0.568266986,0.568266986,0.0,0.0,13.697137177,0.597533596,2.958425461,0.597533596,0.597533596,3.5853237,2.33161316,2.360875129,1.763345203,0.568266986,2.360875129,0.568266986,0.0,0.0,0.0,0.597533596,2.273030106,0.0,0.0,10.943272401,0.0,0.0,2.958425461,11.893629203,1.195078217,0.0,0.597533596,0.597533596,0.0,1.136534943,0.597533596,3.497376021,0.597533596,0.0,1.136534943,0.0,8.758257356000001,0.0,10.726617506,2.899846095,49.88117301,2.958425461,0.597533596,0.597533596,3.977829304,0.0,0.0,4.094926353,1.195078217,1.792608143,0.0,0.568266986,12.50205896,0.0,4.663188581,1.195078217,0.0,5.202114774,1.195078217,17.866178313000002,0.568266986,0.0,0.0,0.0,7.563153004,4.546001721,17.282487012,0.568266986,0.0,1.1658005820000001,4.780428052,0.0,5.9462006810000005,2.929143086,0.0,8.219249384000001,14.294667103,0.0,2.987769065,0.0,0.07355379100000001,0.0,0.020422204,0.042111723000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.10602347000000001,0.0,0.06299201,0.0,0.066470876,0.006154792,0.5391050239999999,0.0,0.010261959,0.071112284,1.0,1.0
1x1,0.0,0.597533596,2.478268216,3.937648803,2.056961717,0.0,1.792608143,15.329125895,0.0,0.0,5.554130734,3.5853237,3.84956986,0.597533596,0.685660073,0.597533596,13.939030433,6.661074255,0.597533596,8.472918682,0.685660073,1.88073829,0.597533596,0.685660073,0.0,2.478268216,0.0,1.88073829,2.478268216,0.0,1.88073829,1.283193669,32.363391792,1.195078217,0.0,0.0,0.685660073,7.346678684,0.0,0.685660073,0.0,0.685660073,1.283193669,0.685660073,1.88073829,0.0,1.283193669,17.455485073,4.359033567,19.109453296,0.0,0.685660073,0.0,0.0,0.0,14.223215267,1.283193669,8.56099794,0.597533596,0.597533596,3.5853237,3.252039934,1.792608143,2.566342719,0.0,2.478268216,0.0,0.0,0.0,0.0,0.597533596,2.742570586,0.685660073,1.371264502,6.415997333,0.0,0.0,6.504032200999999,10.75709426,1.88073829,0.0,0.597533596,0.597533596,0.0,0.0,0.597533596,3.163872645,0.597533596,0.685660073,0.685660073,1.371264502,15.065387432000001,0.0,14.272224246,14.908036377,33.64352093,3.7614229769999996,1.9687980980000002,0.597533596,0.685660073,0.0,0.685660073,3.075818548,1.88073829,1.792608143,0.685660073,0.685660073,0.685660073,0.0,7.875308092,1.195078217,0.685660073,10.705948108000001,2.566342719,20.157871638000003,0.0,0.0,0.0,0.685660073,4.270983773,4.113873726,19.864647872,0.0,0.0,9.510873561,13.693768017,0.0,6.0635937680000005,1.792608143,0.685660073,9.491807421,10.020234482000001,1.371264502,2.987769065,0.0,0.066001952,0.00491609,0.0,0.039048453,0.0,0.0,0.019721556,0.0,0.0,0.0,0.11034644,0.0,0.299252529,0.0,0.09116442,0.006154792,0.477360447,0.0,0.0,0.071112284,1.0,1.0
2x2,0.0,0.597533596,1.792608143,1.195078217,1.092184595,1.092184595,2.884792738,4.07995366,0.0,0.0,6.367210395000001,4.677508295,6.161318817,0.597533596,0.0,0.597533596,11.044804443,5.975414182,0.597533596,2.987769065,0.0,1.195078217,0.597533596,0.0,0.0,1.792608143,0.0,6.65608207,2.884792738,0.0,1.195078217,0.597533596,44.408170072,1.195078217,0.0,0.0,0.0,10.344124856,0.0,0.0,0.0,0.0,8.242832236,0.0,1.195078217,0.0,0.597533596,7.170525693,7.356479739,1.6897181909999999,0.0,0.0,0.0,0.0,0.0,28.502479407,0.597533596,4.574502638,0.597533596,0.597533596,5.7696678630000005,6.65608207,2.884792738,3.3794223800000003,0.0,1.792608143,0.0,1.092184595,0.0,0.0,0.597533596,0.0,1.092184595,0.0,2.987769065,0.0,0.0,4.574502638,12.941438423000001,7.748261095,1.092184595,1.6897181909999999,0.597533596,0.0,0.0,0.597533596,2.884792738,1.6897181909999999,0.0,0.0,0.0,8.057041527,0.0,21.079002250000002,6.65608207,75.58709314,4.574502638,0.597533596,3.874147071,3.276613475,0.0,0.0,2.390158475,2.287262812,2.884792738,0.0,0.0,0.0,0.0,5.666771949999999,1.195078217,2.184344163,3.9769523060000003,1.195078217,21.098354044,0.0,0.0,0.0,1.092184595,5.7696678630000005,10.92065173,27.719097062000003,0.0,1.092184595,1.6897181909999999,8.057041527,0.0,6.47011829,2.884792738,3.276613475,8.65454717,24.731277153,0.0,2.987769065,3.276613475,0.066001952,0.027022599,0.0,0.026450777,0.0,0.008277092,0.0,0.0,0.0,0.0,0.081697933,0.0,0.416902646,0.0,0.069938581,0.006154792,0.394251771,0.0,0.0,0.071112284,1.0,1.0
3x3,0.410457485,0.597533596,2.203065628,3.6578191440000003,0.820916369,0.410457485,9.180831768000001,7.5026990090000005,1.231361832,0.410457485,7.8769409690000005,6.0480646270000005,3.023969975,0.597533596,0.0,3.881144348,16.79816942,6.385871667,1.828895428,5.450509992000001,4.104462293,1.605535702,1.0079910810000001,0.410457485,0.410457485,3.8448574229999997,0.410457485,4.478688969,2.613524512,0.410457485,3.2473274969999997,3.881144348,28.476266732,2.836878607,0.0,0.0,0.410457485,7.206776014,0.0,0.410457485,0.0,0.410457485,1.828895428,0.0,1.195078217,0.0,1.0079910810000001,11.274987986,5.040018345,1.418449965,1.64180039,0.0,0.0,1.64180039,0.0,13.919687827,3.470734281,10.188686060999999,1.0079910810000001,1.418449965,3.9957811850000002,4.889152954,4.665808828,8.583301842000001,0.820916369,2.203065628,0.0,0.820916369,0.410457485,0.0,1.0079910810000001,1.231361832,0.410457485,0.0,2.987769065,0.0,0.820916369,7.72608307,14.040705012,3.6578191440000003,0.820916369,1.0079910810000001,8.806481158,0.0,1.64180039,0.597533596,2.203065628,0.597533596,0.0,0.0,0.820916369,15.042025522,0.410457485,19.188328972,3.2473274969999997,35.64538805,5.26335916,0.597533596,0.597533596,0.0,8.208947562,0.0,3.2110748439999997,1.605535702,4.665808828,0.0,0.410457485,0.410457485,0.410457485,6.494620768,1.195078217,0.410457485,2.613524512,1.195078217,34.78863854,0.0,0.0,0.0,0.0,4.406240069,2.873200685,13.399872701,0.410457485,2.462740927,1.0079910810000001,24.481841542,0.0,5.377933695,2.613524512,0.0,9.072008432,7.9494265859999995,0.0,2.987769065,0.410457485,0.247094692,0.000700254,0.0,0.014857347,0.0,0.000398381,0.0,0.0,0.0,0.0,0.081697933,0.0,0.31436276199999996,0.0,0.066470876,0.006154792,0.31245784,0.0,0.0,0.071112284,1.0,1.0
4x4,0.0,0.597533596,11.621898543,3.161070386,0.0,1.965992169,1.792608143,6.919734225,0.0,0.0,4.182866232,3.5853237,1.792608143,0.597533596,1.965992169,0.597533596,11.700156128,5.975414182,0.597533596,2.987769065,1.965992169,1.195078217,0.597533596,0.0,0.0,3.758600312,0.0,1.195078217,1.792608143,0.0,1.195078217,0.597533596,35.889009892,3.161070386,0.0,0.0,0.0,5.975414182,0.0,0.0,0.0,0.0,2.563525765,0.0,1.195078217,1.965992169,2.563525765,11.102490852999999,2.987769065,0.597533596,0.0,0.0,0.0,0.0,0.0,11.024368617,0.597533596,2.390158475,0.597533596,0.597533596,3.5853237,7.093027548999999,1.792608143,5.127043377,0.0,1.792608143,1.965992169,0.0,0.0,0.0,0.597533596,0.0,0.0,0.0,8.885718397,0.0,0.0,2.390158475,12.723086429,5.127043377,0.0,0.597533596,0.597533596,0.0,0.0,0.597533596,1.792608143,0.597533596,1.965992169,0.0,0.0,10.678377384000001,0.0,14.09031568,3.161070386,58.116582529999995,2.390158475,0.597533596,0.597533596,1.965992169,0.0,0.0,2.390158475,12.991837487000002,1.792608143,0.0,0.0,0.0,3.93196516,2.390158475,1.195078217,0.0,1.792608143,1.195078217,18.695635539,0.0,0.0,0.0,1.965992169,11.449124757,0.0,34.273417252,0.0,1.965992169,0.597533596,4.780428052,0.0,5.377933695,3.758600312,0.0,5.377933695,15.553071803,0.0,2.987769065,0.0,0.080860233,0.0,0.021380824,0.018177649,0.010425737,0.002071568,0.0,0.0,0.0,0.0,0.086383122,0.0,0.06299201,0.0,0.066470876,0.006154792,0.338509046,0.009242893,0.008558979,0.072795069,1.0,1.0
5x5,0.0,6.908060806,0.0,0.0,0.0,3.999997844,1.726967738,0.568266986,0.0,0.0,0.0,0.0,6.863504450000001,0.0,0.0,1.704767878,3.431735616,0.0,0.0,3.453997819,2.295234724,2.273030106,0.0,0.0,0.0,0.0,0.0,0.0,0.568266986,0.0,1.136534943,0.568266986,21.5943577,10.84125577,0.0,0.0,13.81494352,0.0,0.568266986,0.0,0.0,0.0,2.273030106,0.0,0.568266986,10.36318298,1.726967738,0.0,1.704767878,1.704767878,0.0,0.568266986,0.568266986,0.0,0.0,12.50205896,0.0,2.295234724,0.0,0.0,0.0,4.5905327620000005,4.022264805,0.568266986,0.568266986,0.568266986,7.476327792,0.0,1.726967738,0.0,0.0,3.999997844,0.0,0.0,7.955503336,8.634961864,0.0,5.749284868,1.136534943,0.0,0.0,1.726967738,1.726967738,0.0,1.136534943,3.453997819,3.431735616,1.726967738,0.0,1.136534943,0.0,3.977829304,0.0,0.568266986,1.704767878,47.826007396,0.568266986,5.181017882,0.0,3.977829304,0.0,0.0,1.704767878,0.0,1.726967738,0.0,0.568266986,12.50205896,0.0,2.273030106,1.726967738,6.908060806,3.409506631,1.726967738,2.863502681,0.568266986,0.0,0.0,0.0,5.704797042,4.546001721,12.50205896,0.568266986,0.0,0.568266986,0.0,0.0,0.568266986,1.136534943,1.726967738,2.841315689,12.50205896,0.0,0.0,3.453997819,0.011183377000000001,0.089459274,0.047757005,0.06579383,0.0,0.035790683,0.0,0.0,0.0,0.0,0.121311322,0.0,0.09201851,0.0,0.016546384,0.036513589,0.662173651,0.0,0.029998307000000002,0.0,1.0,1.0
6x6,0.0,6.908060806,0.685660073,2.742570586,2.056961717,1.726967738,1.726967738,12.34135683,0.0,0.0,1.371264502,0.0,5.510959536,0.0,0.685660073,0.0,7.897807203,0.685660073,0.0,8.939147436,2.412627811,0.685660073,0.0,0.685660073,0.0,0.685660073,0.0,0.685660073,0.685660073,0.0,0.685660073,0.685660073,23.99769702,3.453997819,0.0,0.0,14.500603593,1.371264502,0.0,0.685660073,0.0,0.685660073,0.685660073,0.685660073,0.685660073,10.36318298,2.412627811,10.28495938,1.371264502,18.5119197,0.0,0.685660073,0.0,0.0,0.0,13.02813705,0.685660073,7.897807203,0.0,0.0,0.0,5.510959536,3.453997819,1.371264502,0.0,0.685660073,6.908060806,0.0,1.726967738,0.0,0.0,4.469538324,0.685660073,1.371264502,3.428228268,8.634961864,0.0,9.294891608,0.0,0.685660073,0.0,1.726967738,1.726967738,0.0,0.0,3.453997819,3.0982322399999997,1.726967738,0.685660073,0.685660073,1.371264502,10.28495938,0.0,4.113873726,13.71295816,31.588355315999998,1.371264502,6.552282384,0.0,0.685660073,0.0,0.685660073,0.685660073,0.685660073,1.726967738,0.685660073,0.685660073,0.685660073,0.0,5.485149617,1.726967738,7.593720879,8.913339965,3.0982322399999997,5.155196006,0.0,0.0,0.0,0.685660073,2.412627811,4.113873726,15.08421982,0.0,0.0,8.913339965,8.913339965,0.0,0.685660073,0.0,2.412627811,4.113873726,8.227626339,1.371264502,0.0,3.453997819,0.003631538,0.094375364,0.027334801,0.06273056,0.0,0.035790683,0.019721556,0.0,0.0,0.0,0.125634292,0.0,0.328279029,0.0,0.041239928,0.036513589,0.600429074,0.0,0.019736348,0.0,1.0,1.0
7x7,0.0,6.908060806,0.0,0.0,1.092184595,2.819152333,2.819152333,1.092184595,0.0,0.0,2.184344163,1.092184595,7.822708493,0.0,0.0,0.0,5.003581213,0.0,0.0,3.453997819,1.726967738,0.0,0.0,0.0,0.0,0.0,0.0,5.461003853,1.092184595,0.0,0.0,0.0,36.0424753,3.453997819,0.0,0.0,13.81494352,4.368710674,0.0,0.0,0.0,0.0,7.64529864,0.0,0.0,10.36318298,1.726967738,0.0,4.368710674,1.092184595,0.0,0.0,0.0,0.0,0.0,27.30740119,0.0,3.911311901,0.0,0.0,2.184344163,8.915001672,4.5461824140000004,2.184344163,0.0,0.0,6.908060806,1.092184595,1.726967738,0.0,0.0,1.726967738,1.092184595,0.0,0.0,8.634961864,0.0,7.3653620449999995,2.184344163,6.553182878,1.092184595,2.819152333,1.726967738,0.0,0.0,3.453997819,2.819152333,2.819152333,0.0,0.0,0.0,3.276613475,0.0,10.92065173,5.461003853,73.53192752599999,2.184344163,5.181017882,3.276613475,3.276613475,0.0,0.0,0.0,1.092184595,2.819152333,0.0,0.0,0.0,0.0,3.276613475,1.726967738,9.092404969,2.184344163,1.726967738,6.095678412,0.0,0.0,0.0,1.092184595,3.911311901,10.92065173,22.93866901,0.0,1.092184595,1.092184595,3.276613475,0.0,1.092184595,1.092184595,5.003581213,3.276613475,22.93866901,0.0,0.0,6.730611294,0.003631538,0.11648187300000001,0.027334801,0.050132884,0.0,0.044067775,0.0,0.0,0.0,0.0,0.096985785,0.0,0.445929146,0.0,0.020014089000000002,0.036513589,0.517320398,0.0,0.019736348,0.0,1.0,1.0
8x8,0.410457485,6.908060806,0.410457485,2.462740927,0.820916369,2.137425223,9.115191363000001,4.514929944,1.231361832,0.410457485,3.694074737,2.462740927,4.685359651,0.0,0.0,3.283610752,10.75694619,0.410457485,1.231361832,5.916738746,5.831430031,0.410457485,0.410457485,0.410457485,0.410457485,2.05224928,0.410457485,3.283610752,0.820916369,0.410457485,2.05224928,3.283610752,20.11057196,5.095798209,0.0,0.0,14.225401005,1.231361832,0.0,0.410457485,0.0,0.410457485,1.231361832,0.0,0.0,10.36318298,2.137425223,4.104462293,2.05224928,0.820916369,1.64180039,0.0,0.0,1.64180039,0.0,12.72460961,2.873200685,9.525495324,0.410457485,0.820916369,0.410457485,7.148072556000001,6.327198504,7.388223625,0.820916369,0.410457485,6.908060806,0.820916369,2.137425223,0.0,0.410457485,2.95832957,0.410457485,0.0,0.0,8.634961864,0.820916369,10.516942477,3.283610752,2.462740927,0.820916369,2.137425223,9.935915300000001,0.0,1.64180039,3.453997819,2.137425223,1.726967738,0.0,0.0,0.820916369,10.26159747,0.410457485,9.029978452,2.05224928,33.590222436,2.873200685,5.181017882,0.0,0.0,8.208947562,0.0,0.820916369,0.410457485,4.6001684229999995,0.0,0.410457485,0.410457485,0.410457485,4.104462293,1.726967738,7.318518291,0.820916369,1.726967738,19.785962908,0.0,0.0,0.0,0.0,2.547884107,2.873200685,8.619444649,0.410457485,2.462740927,0.410457485,19.70141349,0.0,0.0,0.820916369,1.726967738,3.694074737,6.156818443,0.0,0.0,3.864455304,0.184724278,0.090159528,0.027334801,0.038539454,0.0,0.036189064,0.0,0.0,0.0,0.0,0.096985785,0.0,0.343389262,0.0,0.016546384,0.036513589,0.435526467,0.0,0.019736348,0.0,1.0,1.0
9x9,0.0,6.908060806,9.8292904,1.965992169,0.0,3.6929599069999997,1.726967738,3.93196516,0.0,0.0,0.0,0.0,3.453997819,0.0,1.965992169,0.0,5.658932898,0.0,0.0,3.453997819,3.6929599069999997,0.0,0.0,0.0,0.0,1.965992169,0.0,0.0,0.0,0.0,0.0,0.0,27.52331512,5.419989988,0.0,0.0,13.81494352,0.0,0.0,0.0,0.0,0.0,1.965992169,0.0,0.0,12.329175149,3.6929599069999997,3.93196516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8292904,0.0,1.726967738,0.0,0.0,0.0,9.351947151,3.453997819,3.93196516,0.0,0.0,8.874052975,0.0,1.726967738,0.0,0.0,1.726967738,0.0,0.0,5.897949332,8.634961864,0.0,5.181017882,1.965992169,3.93196516,0.0,1.726967738,1.726967738,0.0,0.0,3.453997819,1.726967738,1.726967738,1.965992169,0.0,0.0,5.897949332,0.0,3.93196516,1.965992169,56.061416916,0.0,5.181017882,0.0,1.965992169,0.0,0.0,0.0,11.79675927,1.726967738,0.0,0.0,0.0,3.93196516,0.0,1.726967738,6.908060806,0.0,1.726967738,3.6929599069999997,0.0,0.0,0.0,1.965992169,9.590768794999999,0.0,29.4929892,0.0,1.965992169,0.0,0.0,0.0,0.0,1.965992169,1.726967738,0.0,13.76046366,0.0,0.0,3.453997819,0.018489818999999998,0.089459274,0.048715625,0.041859756,0.010425737,0.037862251,0.0,0.0,0.0,0.0,0.10167097400000001,0.0,0.09201851,0.0,0.016546384,0.036513589,0.46157767299999997,0.009242893,0.028295327000000002,0.001682785,1.0,1.0
